product_id,product_name,category_id,price,cost,created_at
1,Wireless Headphones,8,152.79,81.71,2024-03-17 14:34:00
2,4K Monitor,9,244.75,105.97,2024-07-12 14:59:00
3,Keyboard,4,164.28,61.68,2024-10-19 12:14:00
4,USB Hub,6,428.73,199.06,2024-08-30 22:58:00
5,SSD 1TB,3,406.65,184.79,2024-09-10 01:08:00
6,Webcam,2,253.63,135.96,2024-08-13 03:33:00
7,Smart Speaker,3,455.67,139.5,2024-07-28 20:09:00
8,Cotton Shirt,5,42.04,25.75,2024-06-22 19:44:00
9,Slim Jeans,6,201.75,67.01,2024-12-11 17:24:00
10,Running Shoes,8,477.3,262.86,2024-10-04 01:39:00
11,Winter Jacket,5,38.87,21.47,2024-04-26 23:05:00
12,Wool Sweater,2,219.82,74.6,2024-08-15 05:44:00
13,Casual Dress,6,153.24,47.75,2024-01-29 09:22:00
14,Cookware Set,9,190.55,68.26,2024-07-29 18:43:00
15,Memory Pillow,2,397.3,146.2,2024-11-08 12:39:00
16,Robot Vacuum,10,343.15,171.25,2024-03-14 07:29:00
17,Air Fryer,1,320.76,155.19,2024-08-26 09:43:00
18,Desk Lamp,6,275.57,90.81,2024-10-27 09:40:00
19,Throw Blanket,8,481.2,277.23,2024-06-03 06:24:00
20,Python Cookbook,7,427.4,146.45,2024-10-19 11:36:00
21,Data Science Guide,1,151.46,87.8,2024-12-03 12:17:00
22,AI Fundamentals,1,9.01,5.82,2024-11-06 23:31:00
23,Novel: The Journey,4,417.26,275.88,2024-11-06 11:14:00
24,History Book,3,320.13,175.55,2024-11-17 03:57:00
25,Yoga Mat,8,315.59,99.65,2024-01-18 18:23:00
26,Basketball,5,367.52,123.51,2024-06-16 23:26:00
27,Tennis Racket,9,91.94,32.44,2024-07-06 16:32:00
28,Hiking Boots,5,457.18,289.02,2024-09-03 09:47:00
29,Camping Tent,8,435.85,270.96,2024-02-08 04:48:00
30,Water Bottle,7,483.42,311.35,2024-10-12 11:05:00
31,Face Cream,9,396.39,121.12,2024-03-04 14:23:00
32,Shampoo,10,338.05,192.33,2024-07-14 20:23:00
33,Perfume,1,58.63,23.07,2024-11-13 17:20:00
34,Sunscreen,2,458.05,177.97,2024-11-21 14:58:00
35,Lip Balm,2,352.03,197.03,2024-03-12 01:02:00
36,Board Game,2,155.66,77.37,2024-04-30 17:08:00
37,Puzzle Set,9,197.38,88.51,2024-08-02 18:47:00
38,Action Figure,2,364.67,238.55,2024-09-07 19:26:00
39,Toy Car,6,469.83,193.52,2024-04-21 14:28:00
40,Building Blocks,2,475.52,305.37,2024-12-17 11:34:00
41,Laptop Stand,1,451.34,251.82,2024-07-22 08:12:00
42,Mouse Pad,8,484.26,329.11,2024-02-16 21:13:00
43,Phone Case,1,322.64,173.86,2024-01-26 10:15:00
44,Screen Protector,4,494.47,304.0,2024-02-05 17:13:00
45,Charging Cable,4,295.26,184.6,2024-06-17 04:50:00
46,Coffee Maker,3,450.76,135.74,2024-03-07 17:16:00
47,Blender,1,400.26,137.68,2024-03-08 00:22:00
48,Toaster,6,396.04,156.5,2024-01-09 05:16:00
49,Microwave,9,30.94,18.46,2024-02-28 23:04:00
50,Iron,9,240.74,147.14,2024-10-30 03:28:00
